row_id,v1_line_start,v1_line_end,claim_summary,evidence_class,source_anchor,verification_method,verified_by,verified_date,notes
P-126,n/a,n/a,"Phase P5: original Maren PDF (1906.08804v6.pdf, 71 pages, 1.4MB) supplied by organic operator and inspected directly by Claude page-by-page",A,1906.08804v6.pdf + Phase_P5_OODA.md,direct PDF read,Claude-P5,2026-04-26,"First Layer 2 gate actually executed (L2-6 in Layer2_Inspection_Specs.md)."
P-127,1,1,"PDF page 1 watermark: 'arXiv:1906.08804v6 [cs.NE] 18 Aug 2024' confirms the arXiv ID is real -- REVERSES audit flag A.1.a",A,1906.08804v6.pdf:1,direct PDF read,Claude-P5,2026-04-26,"FILE_RENAMING_LOG.md, audit §A.1.a, v2 Appendix E.1, Plan §2.1, Plan H.1 all updated to reflect this reversal. The clean-name alias remains harmless."
P-128,n/a,n/a,"E1 (q/p reversal) verified verbatim against PDF page 6: 'the true posterior density over external states q(ψ̃|r̃)... and the variational density p(ψ̃|s̃,ã,r̃)'",A,1906.08804v6.pdf:6 + Phase_P5_OODA.md §3,direct PDF read,Claude-P5,2026-04-26,
P-129,n/a,n/a,"E2a (bound direction reversed) + aggravating context verified verbatim against PDF pages 37-38: 'reverse... the direction of the inequality' immediately followed by 'the free energy for the model is a lower bound for the free energy of the external system'",A,1906.08804v6.pdf:37-38 + Phase_P5_OODA.md §3,direct PDF read,Claude-P5,2026-04-26,"Confidence upgrades to 5/5 (PDF-verified)."
P-130,n/a,n/a,"E2b (L misnomer) verified verbatim against PDF page 38; L is 'free energy of external system' but Eqn 17 (PDF page 22) defines L as -ln p(s̃,ã,r̃) (surprisal)",A,1906.08804v6.pdf:38,22 + Phase_P5_OODA.md §3,direct PDF read,Claude-P5,2026-04-26,
P-131,n/a,n/a,"E3 (integration over r̃ vs ψ̃) verified verbatim against PDF pages 15-16: 'integration of the distribution q over ψ̃ will be interpreted as integrating over the distribution units themselves (r̃)'",A,1906.08804v6.pdf:15-16,direct PDF read,Claude-P5,2026-04-26,
P-132,n/a,n/a,"E4 (L expansion as repeated identical sum) verified verbatim against PDF page 22 Eqn 13: L(s̃,ã,r̃) = -∑(i=1 to I) ln p(s̃,ã,r̃)",A,1906.08804v6.pdf:22 + Phase_P5_OODA.md §3,direct PDF read,Claude-P5,2026-04-26,"Same i-suppression pattern recurs in Eqns 5, 9, 10, 11; structural notation issue, not isolated."
P-133,n/a,n/a,"E5 (q-p independence) verified verbatim against PDF page 33: 'the q and the p address the distributions over different systems, and thus are independent (to a first order)'",A,1906.08804v6.pdf:33,direct PDF read,Claude-P5,2026-04-26,
P-134,n/a,n/a,"E6 (model posterior conflated with external system) verified verbatim against PDF page 19: 'the actual distribution of the external system itself p(ψ̃|s̃,ã,r̃)'",A,1906.08804v6.pdf:19,direct PDF read,Claude-P5,2026-04-26,
P-135,n/a,n/a,"E7 (functional vs point oscillation) three loci verified verbatim against PDF pages 19, 20, 28",A,1906.08804v6.pdf:19,20,28 + Phase_P5_OODA.md §3,direct PDF read,Claude-P5,2026-04-26,
P-136,n/a,n/a,"E8 (Eqn B-1 missing minus) SETTLED via PDF: B-1 (page 54) lacks minus sign; B-8 (page 58) has minus sign; Maren self-flags on page 56",A,1906.08804v6.pdf:54,56,58 + Phase_P5_OODA.md §4,direct PDF read,Claude-P5,2026-04-26,"Confidence upgrades to 5/5; severity Serious retained; refined repair: relabel B-1 as Beal-convention or remove."
P-137,n/a,n/a,"E9 (Table 4 row taxonomy) verified verbatim against PDF page 17; correction: Friston-column observable is 'λ, r̃' not 's̃, r̃' (lambda was lost in extraction)",A,1906.08804v6.pdf:17,direct PDF read,Claude-P5,2026-04-26,
P-138,n/a,n/a,"E10 (CVM bridge associative not derivational) verified by Section 8 reading (PDF pages 39-46); 'identified with θ' is associative; Appendix C 'implicit generative model' gestured but no formal F_CVM = F[q_phi]",A,1906.08804v6.pdf:39-46 + Phase_P5_OODA.md §3,direct PDF read,Claude-P5,2026-04-26,
P-139,n/a,n/a,"E13 (each separately come to FE minima) verified verbatim at four loci: PDF pages 4, 39, 40, 46",A,1906.08804v6.pdf:4,39,40,46,direct PDF read,Claude-P5,2026-04-26,
P-140,n/a,n/a,"E15 RESOLVED: text extraction was substantively faithful; only Greek letters (ψ, η, λ, ε) and operator symbols (∑, ∫) were rendered as artifacts; math content was intact",A,Phase_P5_OODA.md §3,direct PDF read,Claude-P5,2026-04-26,"Severity downgrades from uncertain to Minor-resolved."
P-141,n/a,n/a,"NEW finding: Maren uses ψ̃ for external states, not η̃; audit silently translated to η̃ for consistency with Parr/Pezzulo/Friston (2022) convention",E,1906.08804v6.pdf throughout + Phase_P5_OODA.md §5.1,direct PDF read,Claude-P5,2026-04-26,"Notation-translation choice, not math error. v2 Appendix B should add footnote."
P-142,n/a,n/a,"NEW context: Maren TR-2019-01v6 carries acknowledgment of Friston review (PDF page 48): 'I am enormously indebted to Karl Friston for careful, detailed, and thoughtful reviews'",B,1906.08804v6.pdf:48,direct PDF read,Claude-P5,2026-04-26,"v2 audit is therefore a second pass on a Friston-reviewed manuscript; strengthens 'test-case, not target' framing."
P-143,n/a,n/a,"NEW finding: i-suppression pattern (∑(i=1 to I) with no i-dependence in summand) recurs in Eqns 5, 9, 10, 11, 13 -- structural notation issue, not isolated to E4",A,1906.08804v6.pdf:18,21,22 + Phase_P5_OODA.md §5.3,direct PDF read,Claude-P5,2026-04-26,
P-144,n/a,n/a,"NEW finding: Maren introduces a second L symbol at Eqn 33 (PDF page 33): L(x̃) = L(ψ̃,s̃,ã,r̃) = -ln p(ψ̃,s̃,ã,r̃) -- distinct from Eqn 12's L(s̃,ã,r̃)",A,1906.08804v6.pdf:33 + Phase_P5_OODA.md §5.4,direct PDF read,Claude-P5,2026-04-26,
P-145,n/a,n/a,"Phase P5 Layer-2 §6 settlement complete; 14 verbatim verifications + 1 reversal (A.1.a) + 1 settlement (E8) + 1 resolution (E15) + 5 new findings",A,Phase_P5_OODA.md (full document),Layer-2 settlement deliverable,Claude-P5,2026-04-26,"Layer 2 gates remaining: L2-1 (Beal), L2-2 (Friston 2013), L2-3 (Friston 2015), L2-4 (Sengupta), L2-5 (Kikuchi), L2-7 (Blei), L2-8 (two human experts). All require external resources Claude cannot acquire."




